asset,horizon,horizon_seconds,train,own_r2,car_r2,cross_r2,cross_minus_own_r2,cross_minus_car_r2,own_hit,car_hit,cross_hit,n,levels
BTC,2,600,3000,-0.005678691304271233,-0.003857884987524818,-0.0025439759460994527,0.00313471535817178,0.0013139090414253651,0.5046193784836221,0.5198136977933878,0.5159196762617393,13097,10
ETH,2,600,3000,-0.005834034803443577,-0.004794682706012798,-0.0021521381164688602,0.003681896686974717,0.002642544589543938,0.5009544170420707,0.5112621210964343,0.5120256547300909,13097,10
SOL,2,600,3000,-0.005991774102365843,-0.004211733341942692,-0.0015614144889672943,0.004430359613398549,0.0026503188529753974,0.5027105443994808,0.5050011453004505,0.5043139650301596,13097,10
XRP,2,600,3000,-0.006800463853924965,-0.004136871114388763,-0.0016817904922621363,0.005118673361662829,0.0024550806221266264,0.5030159578529434,0.5082079865618081,0.5104222340994121,13097,10
BTC,5,1500,3000,-0.009973980761329715,-0.008141900083744824,-0.005019329552715224,0.004954651208614491,0.0031225705310296004,0.49434855659080496,0.5012219337100963,0.5140522376661066,13094,10
ETH,5,1500,3000,-0.01097389591156217,-0.01052814267385993,-0.003964824702972436,0.007009071208589734,0.0065633179708874945,0.5073316022605774,0.5063387811211242,0.515961509088132,13094,10
SOL,5,1500,3000,-0.011847856721235228,-0.007468004835688102,-0.004577501913522131,0.0072703548077130975,0.0028905029221659717,0.5028257217045975,0.5021383839926684,0.5026729799908355,13094,10
XRP,5,1500,3000,-0.010145278462107221,-0.008031341382230162,-0.006737801945950084,0.0034074765161571374,0.0012935394362800778,0.5072552314036963,0.5067206354055293,0.5145868336642737,13094,10
BTC,10,3000,3000,-0.01328416842752489,-0.014897798019204656,-0.007357835228286369,0.00592633319923852,0.0075399627909182865,0.4882725953090381,0.5044694017877607,0.5153946061578425,13089,10
ETH,10,3000,3000,-0.016575766340512832,-0.014963331996208362,-0.00795574353449613,0.008620022806016703,0.007007588461712233,0.5075254030101612,0.5050042020016808,0.5171518068607227,13089,10
SOL,10,3000,3000,-0.018802396536617527,-0.01223569651371692,-0.008468100210066165,0.010334296326551362,0.0037675963036507554,0.5027122010848805,0.5011842004736802,0.50026740010696,13089,10
XRP,10,3000,3000,-0.017455177085892837,-0.012653223475228348,-0.01125456250111978,0.0062006145847730565,0.0013986609741085676,0.4933149973259989,0.5043166017266407,0.5158530063412026,13089,10
BTC,20,6000,3000,-0.018373299094057494,-0.020231543632371674,-0.012855334909204652,0.005517964184852842,0.0073762087231670215,0.5053903203608838,0.5174707546448505,0.5224405535591407,13079,10
