target,spec,r2,hit,n,r2_minus_own
BTC,own,-0.0022900115254971265,0.48906068805566294,77610,0.0
BTC,own+ETH,-0.0005040850553976739,0.4891251127432032,77610,0.0017859264700994526
BTC,own+SOL,-0.00040524826052590335,0.489331271743332,77610,0.0018847632649712232
BTC,own+XRP,-0.00017318716281367053,0.49005282824378305,77610,0.002116824362683456
BTC,all,-0.00046395189011261273,0.4891508826182193,77610,0.0018260596353845138
BTC,cross_only,-0.0005681239453358966,0.4892153073057596,77610,0.0017218875801612299
ETH,own,-0.0027887861226632005,0.49460121118412576,77610,0.0
ETH,own+BTC,-0.0007012226048963566,0.4930421337456513,77610,0.002087563517766844
ETH,own+SOL,-0.0008480387044849103,0.4923592320577245,77610,0.0019407474181782902
ETH,own+XRP,-0.00046220386348982956,0.49342868187089295,77610,0.002326582259173371
ETH,all,-0.00042971057857332795,0.49188248936992657,77610,0.0023590755440898725
ETH,cross_only,-0.000381635509848266,0.4919597989949749,77610,0.0024071506128149345
SOL,own,-0.002605527458891199,0.45642314134776446,77610,0.0
SOL,own+BTC,-0.00047443073319497486,0.45880685478675426,77610,0.0021310967256962243
SOL,own+ETH,-0.0005786807048007159,0.45830434222394023,77610,0.0020268467540904833
SOL,own+XRP,-4.484809051508165e-05,0.45867800541167375,77610,0.0025606793683761175
SOL,all,1.8069531002251615e-05,0.458497616286561,77610,0.002623596989893451
SOL,cross_only,-0.0003955699335569385,0.4574023965983765,77610,0.0022099575253342607
XRP,own,-0.003290238324227035,0.463831980414895,77610,0.0
XRP,own+BTC,-0.0006425353420931312,0.46430872310269294,77610,0.0026477029821339038
XRP,own+ETH,-0.000699649671830116,0.4653395181033372,77610,0.002590588652396919
XRP,own+SOL,-0.0009253269405185005,0.4639350599149594,77610,0.0023649113837085345
XRP,all,-0.0010878847752877618,0.4641154490400722,77610,0.002202353548939273
XRP,cross_only,-0.0010615094122186086,0.4641025641025641,77610,0.0022287289120084264

