target,source,coef_sum
BTC,BTC,6.359673678913848e-07
BTC,ETH,1.1032399264320414e-05
BTC,SOL,-6.669226562125943e-06
BTC,XRP,1.5115365798542654e-07
ETH,BTC,-3.3948837058650175e-07
ETH,ETH,3.95177578769347e-06
ETH,SOL,-4.654603006436677e-06
ETH,XRP,1.3573115205738987e-06
SOL,BTC,4.8597083762295435e-06
SOL,ETH,1.0077106607867725e-05
SOL,SOL,-3.4351850074995784e-05
SOL,XRP,2.4924305760711963e-05
XRP,BTC,3.8082428257650554e-06
XRP,ETH,9.786770327636732e-06
XRP,SOL,-3.810798561177712e-06
XRP,XRP,-9.429670434732698e-06

