bar_s,scheme,lagset,horizon,horizon_seconds,train,levels,dm_own_minus_cross,p_own_vs_cross,dm_car_minus_cross,p_car_vs_cross,dm_placebo_cross_minus_real_cross,p_placebo_vs_real_cross,mcs_included_10pct,p_own_vs_cross_bonf672,p_own_vs_cross_holm672,p_own_vs_cross_bh672,p_car_vs_cross_bonf672,p_car_vs_cross_holm672,p_car_vs_cross_bh672,p_placebo_vs_real_cross_bonf672,p_placebo_vs_real_cross_holm672,p_placebo_vs_real_cross_bh672
300,best,ccz,1,300,3000,10,4.802973917833139,1.5805721907008402e-06,1.3394239062201003,0.1804559534130341,0.8142185717292931,0.41553488434084807,"car,cross",0.0010621445121509645,0.001047919362434657,0.00010621445121509645,1.0,1.0,1.0,1.0,1.0,1.0
300,best,ccz,2,600,3000,10,5.373969172079371,7.834138892103626e-08,2.1267408182629217,0.033460266221419316,1.4661076765913807,0.14264350424560515,cross,5.264541335493637e-05,5.2488730577094294e-05,1.7548471118312123e-05,1.0,1.0,1.0,1.0,1.0,1.0
300,best,ccz,3,900,3000,10,5.549251347895289,2.924672796541809e-08,2.067330582919945,0.038722615367299096,2.038303039533123,0.04154013569492954,cross,1.9653801192760956e-05,1.9653801192760956e-05,1.7548471118312123e-05,1.0,1.0,1.0,1.0,1.0,1.0
300,best,ccz,5,1500,3000,10,4.684028704335804,2.841188380347902e-06,1.3217387383074548,0.18627825731662984,1.513036116637569,0.13029516440009714,"car,cross",0.0019092785915937902,0.0018751843310296154,0.0001468675839687531,1.0,1.0,1.0,1.0,1.0,1.0
300,best,ccz,10,3000,3000,10,4.5053593131221215,6.683458329787521e-06,0.7061180559821684,0.48012729275437815,0.7770246071800487,0.43715861185469096,"car,cross",0.004491283997617214,0.0043843486643406135,0.0002553848586906403,1.0,1.0,1.0,1.0,1.0,1.0
300,best,ccz,20,6000,3000,10,3.5143562606890457,0.0004423113422446093,0.12953130676095048,0.8969392464120657,2.00620030518579,0.0448558968399464,"car,cross",0.2972332219883774,0.2870600611167514,0.012384717582849059,1.0,1.0,1.0,1.0,1.0,1.0
300,best,ccz,30,9000,3000,10,2.7545100422650206,0.005886139647198379,-0.09630181484889876,0.9232823464616018,1.7560095856255786,0.07911072310234818,"car,cross",1.0,1.0,0.1464994756636041,1.0,1.0,1.0,1.0,1.0,1.0
300,sum,ccz,1,300,3000,10,4.513691504943172,6.426417062218735e-06,1.4064946051630525,0.1596010317320422,0.12776969353829298,0.8983332402468793,"car,cross",0.004318552265810989,0.004222156009877708,0.0002553848586906403,1.0,1.0,1.0,1.0,1.0,1.0
300,sum,ccz,2,600,3000,10,4.639774338047944,3.521700358732514e-06,1.9323563421728966,0.05333707838399021,0.50513130425174,0.6134753070798626,cross,0.0023665826410682496,0.0023208005364047267,0.0001690416172191607,1.0,1.0,1.0,1.0,1.0,1.0
300,sum,ccz,3,900,3000,10,4.928085830214881,8.405493194876481e-07,1.9331617566151438,0.053237805246812445,1.3387257529283103,0.18068373177955027,cross,0.0005648491426956995,0.000558965297459286,6.48836995266912e-05,1.0,1.0,1.0,1.0,1.0,1.0
