spec,bar_s,scheme,lagset,horizon,horizon_seconds,levels,train,test,step,kind,r2_type,model,train_seconds,test_seconds,step_seconds,n_windows,coverage_min,n_bars,own_r2,ar_r2,car_r2,cross_r2,cross_minus_own_r2,cross_minus_ar_r2,cross_minus_car_r2,own_hit,ar_hit,car_hit,cross_hit,own_unit_pnl_bps,car_unit_pnl_bps,cross_unit_pnl_bps,cross_minus_own_unit_pnl_bps,best_asset,best_asset_cross_minus_own_r2,asset_metrics_json
subminute,1,best,single_bar,1,1,10,604800,86400,604800,real,zero,tuned_ridge_calendar_common_placebo_mask,604800.0,86400.0,604800.0,7.0,0.8,4803165.0,0.007503055860391211,0.0006329263849199074,0.0066116287491394254,0.00965621258227184,0.002153156721880628,0.009023286197351932,0.0030445838331324138,0.6057715391583831,0.5246772038973102,0.5640233686486581,0.6281925276414155,0.045392367181191516,0.031027920119301475,0.0558680678175972,0.010475700636405686,SOL,0.003268211407121191,"[{""asset"":""BTC"",""own_r2"":0.006877305217561136,""ar_r2"":0.00046086390801935995,""car_r2"":0.007832861863269591,""cross_r2"":0.00855216454468899,""cross_minus_own_r2"":0.0016748593271278533,""cross_minus_ar_r2"":0.00809130063666963,""cross_minus_car_r2"":0.0007193026814193981,""own_hit"":0.6099009900990099,""ar_hit"":0.5348996521273749,""car_hit"":0.573047899384533,""cross_hit"":0.6315012041744715,""own_unit_pnl_bps"":0.02959220235200326,""car_unit_pnl_bps"":0.023086878729793432,""cross_unit_pnl_bps"":0.036200096974307816,""n"":594541,""cross_minus_own_unit_pnl_bps"":0.006607894622304555},{""asset"":""ETH"",""own_r2"":0.00648524117884941,""ar_r2"":0.0003274490065228175,""car_r2"":0.003307668849116152,""cross_r2"":0.006938890553342736,""cross_minus_own_r2"":0.00045364937449332565,""cross_minus_ar_r2"":0.006611441546819918,""cross_minus_car_r2"":0.0036312217042265837,""own_hit"":0.5989118503316947,""ar_hit"":0.5182551424617,""car_hit"":0.542515789306225,""cross_hit"":0.6121319142843507,""own_unit_pnl_bps"":0.041029985663044055,""car_unit_pnl_bps"":0.022042713348111337,""cross_unit_pnl_bps"":0.04817457832889758,""n"":594541,""cross_minus_own_unit_pnl_bps"":0.007144592665853523},{""asset"":""SOL"",""own_r2"":0.0065308899932626785,""ar_r2"":0.0005261698672263115,""car_r2"":0.007002670103296249,""cross_r2"":0.00979910140038387,""cross_minus_own_r2"":0.003268211407121191,""cross_minus_ar_r2"":0.009272931533157558,""cross_minus_car_r2"":0.0027964312970876204,""own_hit"":0.6100112684769881,""ar_hit"":0.520559446739875,""car_hit"":0.5705274089131444,""cross_hit"":0.6336640226253342,""own_unit_pnl_bps"":0.061006242210961494,""car_unit_pnl_bps"":0.043017336601575355,""cross_unit_pnl_bps"":0.0746626126056519,""n"":594541,""cross_minus_own_unit_pnl_bps"":0.013656370394690413},{""asset"":""XRP"",""own_r2"":0.01011878705189162,""ar_r2"":0.0012172227579111405,""car_r2"":0.00830331418087571,""cross_r2"":0.013334693830671762,""cross_minus_own_r2"":0.003215906778780142,""cross_minus_ar_r2"":0.012117471072760622,""cross_minus_car_r2"":0.005031379649796053,""own_hit"":0.6042620477258399,""ar_hit"":0.5249945742602908,""car_hit"":0.5700023769907298,""cross_hit"":0.635472969481506,""own_unit_pnl_bps"":0.04994103849875725,""car_unit_pnl_bps"":0.03596475179772578,""cross_unit_pnl_bps"":0.0644349833615315,""n"":594541,""cross_minus_own_unit_pnl_bps"":0.01449394486277425}]"
subminute,1,best,single_bar,1,1,10,604800,86400,604800,placebo,zero,tuned_ridge_calendar_common_placebo_mask,604800.0,86400.0,604800.0,7.0,0.8,4803165.0,0.007503055860391211,0.0006329263849199074,0.0066116287491394254,0.007497139567976069,-5.916292415142355e-06,0.0068642131830561615,0.0008855108188366434,0.6057715391583831,0.5246772038973102,0.5640233686486581,0.6051217809998988,0.045392367181191516,0.031027920119301475,0.04506681602649385,-0.0003255511546976656,SOL,1.01363875304461e-06,"[{""asset"":""BTC"",""own_r2"":0.006877305217561136,""ar_r2"":0.00046086390801935995,""car_r2"":0.007832861863269591,""cross_r2"":0.00686804584400047,""cross_minus_own_r2"":-9.259373560666084e-06,""cross_minus_ar_r2"":0.00640718193598111,""cross_minus_car_r2"":-0.0009648160192691213,""own_hit"":0.6099009900990099,""ar_hit"":0.5348996521273749,""car_hit"":0.573047899384533,""cross_hit"":0.6093015788065294,""own_unit_pnl_bps"":0.02959220235200326,""car_unit_pnl_bps"":0.023086878729793432,""cross_unit_pnl_bps"":0.029405517017019593,""n"":594541,""cross_minus_own_unit_pnl_bps"":-0.0001866853349836682},{""asset"":""ETH"",""own_r2"":0.00648524117884941,""ar_r2"":0.0003274490065228175,""car_r2"":0.003307668849116152,""cross_r2"":0.006484129480429424,""cross_minus_own_r2"":-1.1116984199865954e-06,""cross_minus_ar_r2"":0.006156680473906606,""cross_minus_car_r2"":0.0031764606313132715,""own_hit"":0.5989118503316947,""ar_hit"":0.5182551424617,""car_hit"":0.542515789306225,""cross_hit"":0.5983391399799551,""own_unit_pnl_bps"":0.041029985663044055,""car_unit_pnl_bps"":0.022042713348111337,""cross_unit_pnl_bps"":0.04075128250894868,""n"":594541,""cross_minus_own_unit_pnl_bps"":-0.00027870315409537355},{""asset"":""SOL"",""own_r2"":0.0065308899932626785,""ar_r2"":0.0005261698672263115,""car_r2"":0.007002670103296249,""cross_r2"":0.006531903632015723,""cross_minus_own_r2"":1.01363875304461e-06,""cross_minus_ar_r2"":0.0060057337647894116,""cross_minus_car_r2"":-0.00047076647128052596,""own_hit"":0.6100112684769881,""ar_hit"":0.520559446739875,""car_hit"":0.5705274089131444,""cross_hit"":0.6090390861486114,""own_unit_pnl_bps"":0.061006242210961494,""car_unit_pnl_bps"":0.043017336601575355,""cross_unit_pnl_bps"":0.060541019236787036,""n"":594541,""cross_minus_own_unit_pnl_bps"":-0.0004652229741744576},{""asset"":""XRP"",""own_r2"":0.01011878705189162,""ar_r2"":0.0012172227579111405,""car_r2"":0.00830331418087571,""cross_r2"":0.010104479315458659,""cross_minus_own_r2"":-1.4307736432961349e-05,""cross_minus_ar_r2"":0.008887256557547518,""cross_minus_car_r2"":0.0018011651345829494,""own_hit"":0.6042620477258399,""ar_hit"":0.5249945742602908,""car_hit"":0.5700023769907298,""cross_hit"":0.6038073190644991,""own_unit_pnl_bps"":0.04994103849875725,""car_unit_pnl_bps"":0.03596475179772578,""cross_unit_pnl_bps"":0.04956944534322009,""n"":594541,""cross_minus_own_unit_pnl_bps"":-0.00037159315553716293}]"
subminute,1,best,single_bar,1,1,10,604800,86400,604800,real_minus_placebo,,,,,,,,,,,,,0.0021590730142957704,,0.0021590730142957704,,,,0.02307074664151676,,,0.010801251791103347,,,,
subminute,1,sum,single_bar,1,1,10,604800,86400,604800,real,zero,tuned_ridge_calendar_common_placebo_mask,604800.0,86400.0,604800.0,7.0,0.8,4803165.0,0.004129256239829682,0.0006329263849199074,0.0066116287491394254,0.008863107012433313,0.004733850772603632,0.008230180627513406,0.002251478263293888,0.5910948007369292,0.5246772038973102,0.5640233686486581,0.6112358664130506,0.03880576907649941,0.031027920119301475,0.049296511590095037,0.010490742513595632,SOL,0.008790495670528364,"[{""asset"":""BTC"",""own_r2"":0.006499529377219981,""ar_r2"":0.00046086390801935995,""car_r2"":0.007832861863269591,""cross_r2"":0.008197813515022356,""cross_minus_own_r2"":0.001698284137802375,""cross_minus_ar_r2"":0.007736949607002996,""cross_minus_car_r2"":0.0003649516517527651,""own_hit"":0.6048166978860048,""ar_hit"":0.5348996521273749,""car_hit"":0.573047899384533,""cross_hit"":0.6217928819909018,""own_unit_pnl_bps"":0.02903567800124921,""car_unit_pnl_bps"":0.023086878729793432,""cross_unit_pnl_bps"":0.03394949589496015,""n"":594541,""cross_minus_own_unit_pnl_bps"":0.0049138178937109395},{""asset"":""ETH"",""own_r2"":0.00563035465691375,""ar_r2"":0.0003274490065228175,""car_r2"":0.003307668849116152,""cross_r2"":0.006054469446622246,""cross_minus_own_r2"":0.00042411478970849625,""cross_minus_ar_r2"":0.0057270204400994285,""cross_minus_car_r2"":0.002746800597506094,""own_hit"":0.5900587028110533,""ar_hit"":0.5182551424617,""car_hit"":0.542515789306225,""cross_hit"":0.5968914554797244,""own_unit_pnl_bps"":0.038994614097096744,""car_unit_pnl_bps"":0.022042713348111337,""cross_unit_pnl_bps"":0.04284555094616162,""n"":594541,""cross_minus_own_unit_pnl_bps"":0.003850936849064873},{""asset"":""SOL"",""own_r2"":0.001150635229039354,""ar_r2"":0.0005261698672263115,""car_r2"":0.007002670103296249,""cross_r2"":0.009941130899567718,""cross_minus_own_r2"":0.008790495670528364,""cross_minus_ar_r2"":0.009414961032341407,""cross_minus_car_r2"":0.0029384607962714693,""own_hit"":0.5786252458074637,""ar_hit"":0.520559446739875,""car_hit"":0.5705274089131444,""cross_hit"":0.6114143043372589,""own_unit_pnl_bps"":0.04293155283985005,""car_unit_pnl_bps"":0.043017336601575355,""cross_unit_pnl_bps"":0.06435848467737322,""n"":594541,""cross_minus_own_unit_pnl_bps"":0.021426931837523172},{""asset"":""XRP"",""own_r2"":0.0032365056961456418,""ar_r2"":0.0012172227579111405,""car_r2"":0.00830331418087571,""cross_r2"":0.011259014188520933,""cross_minus_own_r2"":0.008022508492375291,""cross_minus_ar_r2"":0.010041791430609792,""cross_minus_car_r2"":0.0029557000076452233,""own_hit"":0.5908785564431951,""ar_hit"":0.5249945742602908,""car_hit"":0.5700023769907298,""cross_hit"":0.6148448238443175,""own_unit_pnl_bps"":0.04426123136780163,""car_unit_pnl_bps"":0.03596475179772578,""cross_unit_pnl_bps"":0.05603251484188517,""n"":594541,""cross_minus_own_unit_pnl_bps"":0.011771283474083544}]"
subminute,1,sum,single_bar,1,1,10,604800,86400,604800,placebo,zero,tuned_ridge_calendar_common_placebo_mask,604800.0,86400.0,604800.0,7.0,0.8,4803165.0,0.004129256239829682,0.0006329263849199074,0.0066116287491394254,0.004122281215264395,-6.975024565286647e-06,0.0034893548303444877,-0.0024893475338750304,0.5910948007369292,0.5246772038973102,0.5640233686486581,0.5882416142536623,0.03880576907649941,0.031027920119301475,0.0373732687486414,-0.0014325003278580096,ETH,1.2496301711184543e-06,"[{""asset"":""BTC"",""own_r2"":0.006499529377219981,""ar_r2"":0.00046086390801935995,""car_r2"":0.007832861863269591,""cross_r2"":0.006490736206999248,""cross_minus_own_r2"":-8.793170220733337e-06,""cross_minus_ar_r2"":0.006029872298979888,""cross_minus_car_r2"":-0.0013421256562703432,""own_hit"":0.6048166978860048,""ar_hit"":0.5348996521273749,""car_hit"":0.573047899384533,""cross_hit"":0.6044955846936045,""own_unit_pnl_bps"":0.02903567800124921,""car_unit_pnl_bps"":0.023086878729793432,""cross_unit_pnl_bps"":0.02902059628224791,""n"":594541,""cross_minus_own_unit_pnl_bps"":-1.5081719001303062e-05},{""asset"":""ETH"",""own_r2"":0.00563035465691375,""ar_r2"":0.0003274490065228175,""car_r2"":0.003307668849116152,""cross_r2"":0.005631604287084868,""cross_minus_own_r2"":1.2496301711184543e-06,""cross_minus_ar_r2"":0.005304155280562051,""cross_minus_car_r2"":0.002323935437968716,""own_hit"":0.5900587028110533,""ar_hit"":0.5182551424617,""car_hit"":0.542515789306225,""cross_hit"":0.5897405303934202,""own_unit_pnl_bps"":0.038994614097096744,""car_unit_pnl_bps"":0.022042713348111337,""cross_unit_pnl_bps"":0.039050009269510924,""n"":594541,""cross_minus_own_unit_pnl_bps"":5.5395172414179905e-05},{""asset"":""SOL"",""own_r2"":0.001150635229039354,""ar_r2"":0.0005261698672263115,""car_r2"":0.007002670103296249,""cross_r2"":0.0011492180946093278,""cross_minus_own_r2"":-1.4171344300262234e-06,""cross_minus_ar_r2"":0.0006230482273830162,""cross_minus_car_r2"":-0.005853452008686921,""own_hit"":0.5786252458074637,""ar_hit"":0.520559446739875,""car_hit"":0.5705274089131444,""cross_hit"":0.5719856824057094,""own_unit_pnl_bps"":0.04293155283985005,""car_unit_pnl_bps"":0.043017336601575355,""cross_unit_pnl_bps"":0.039094378568762356,""n"":594541,""cross_minus_own_unit_pnl_bps"":-0.0038371742710876927},{""asset"":""XRP"",""own_r2"":0.0032365056961456418,""ar_r2"":0.0012172227579111405,""car_r2"":0.00830331418087571,""cross_r2"":0.0032175662723641363,""cross_minus_own_r2"":-1.8939423781505482e-05,""cross_minus_ar_r2"":0.0020003435144529957,""cross_minus_car_r2"":-0.005085747908511573,""own_hit"":0.5908785564431951,""ar_hit"":0.5249945742602908,""car_hit"":0.5700023769907298,""cross_hit"":0.5867446595219148,""own_unit_pnl_bps"":0.04426123136780163,""car_unit_pnl_bps"":0.03596475179772578,""cross_unit_pnl_bps"":0.042328090874044405,""n"":594541,""cross_minus_own_unit_pnl_bps"":-0.0019331404937572225}]"
subminute,1,sum,single_bar,1,1,10,604800,86400,604800,real_minus_placebo,,,,,,,,,,,,,0.004740825797168918,,0.004740825797168918,,,,0.02299425215938833,,,0.011923242841453636,,,,
subminute,1,distance,single_bar,1,1,10,604800,86400,604800,real,zero,tuned_ridge_calendar_common_placebo_mask,604800.0,86400.0,604800.0,7.0,0.8,4803165.0,0.005463179206652263,0.0006329263849199074,0.0066116287491394254,0.009010392067266226,0.003547212860613963,0.008377465682346319,0.002398763318126801,0.607069066814831,0.5246772038973102,0.5640233686486581,0.6205332690157268,0.04638558847281652,0.031027920119301475,0.05251770171073287,0.00613211323791635,SOL,0.00682755759462228,"[{""asset"":""BTC"",""own_r2"":0.007037996843337502,""ar_r2"":0.00046086390801935995,""car_r2"":0.007832861863269591,""cross_r2"":0.00852283069831905,""cross_minus_own_r2"":0.0014848338549815487,""cross_minus_ar_r2"":0.00806196679029969,""cross_minus_car_r2"":0.0006899688350494593,""own_hit"":0.6122130050842922,""ar_hit"":0.5348996521273749,""car_hit"":0.573047899384533,""cross_hit"":0.629017928819909,""own_unit_pnl_bps"":0.030795928001871115,""car_unit_pnl_bps"":0.023086878729793432,""cross_unit_pnl_bps"":0.03561140230778032,""n"":594541,""cross_minus_own_unit_pnl_bps"":0.004815474305909208},{""asset"":""ETH"",""own_r2"":0.006578619327899382,""ar_r2"":0.0003274490065228175,""car_r2"":0.003307668849116152,""cross_r2"":0.006828808089150318,""cross_minus_own_r2"":0.0002501887612509357,""cross_minus_ar_r2"":0.0065013590826275,""cross_minus_car_r2"":0.0035211392400341657,""own_hit"":0.6000334081038515,""ar_hit"":0.5182551424617,""car_hit"":0.542515789306225,""cross_hit"":0.6069616124978126,""own_unit_pnl_bps"":0.04272468565443498,""car_unit_pnl_bps"":0.022042713348111337,""cross_unit_pnl_bps"":0.045989016495732137,""n"":594541,""cross_minus_own_unit_pnl_bps"":0.0032643308412971597},{""asset"":""SOL"",""own_r2"":0.0024737548879582016,""ar_r2"":0.0005261698672263115,""car_r2"":0.007002670103296249,""cross_r2"":0.009301312482580482,""cross_minus_own_r2"":0.00682755759462228,""cross_minus_ar_r2"":0.00877514261535417,""cross_minus_car_r2"":0.0022986423792842325,""own_hit"":0.606962151174352,""ar_hit"":0.520559446739875,""car_hit"":0.5705274089131444,""cross_hit"":0.6184626262179898,""own_unit_pnl_bps"":0.059585650481037984,""car_unit_pnl_bps"":0.043017336601575355,""cross_unit_pnl_bps"":0.06714244214893363,""n"":594541,""cross_minus_own_unit_pnl_bps"":0.007556791667895642},{""asset"":""XRP"",""own_r2"":0.005762345767413968,""ar_r2"":0.0012172227579111405,""car_r2"":0.00830331418087571,""cross_r2"":0.011388616999015055,""cross_minus_own_r2"":0.005626271231601088,""cross_minus_ar_r2"":0.010171394241103915,""cross_minus_car_r2"":0.003085302818139346,""own_hit"":0.6090677028968283,""ar_hit"":0.5249945742602908,""car_hit"":0.5700023769907298,""cross_hit"":0.6276909085271959,""own_unit_pnl_bps"":0.05243608975392199,""car_unit_pnl_bps"":0.03596475179772578,""cross_unit_pnl_bps"":0.06132794589048538,""n"":594541,""cross_minus_own_unit_pnl_bps"":0.00889185613656339}]"
subminute,1,distance,single_bar,1,1,10,604800,86400,604800,placebo,zero,tuned_ridge_calendar_common_placebo_mask,604800.0,86400.0,604800.0,7.0,0.8,4803165.0,0.005463179206652263,0.0006329263849199074,0.0066116287491394254,0.00545674965465659,-6.4295519956736324e-06,0.004823823269736682,-0.0011548790944828358,0.607069066814831,0.5246772038973102,0.5640233686486581,0.6052270432965686,0.04638558847281652,0.031027920119301475,0.04537468120242653,-0.0010109072703899874,ETH,1.7054216071565875e-06,"[{""asset"":""BTC"",""own_r2"":0.007037996843337502,""ar_r2"":0.00046086390801935995,""car_r2"":0.007832861863269591,""cross_r2"":0.0070295901476506994,""cross_minus_own_r2"":-8.406695686802301e-06,""cross_minus_ar_r2"":0.0065687262396313395,""cross_minus_car_r2"":-0.0008032717156188918,""own_hit"":0.6122130050842922,""ar_hit"":0.5348996521273749,""car_hit"":0.573047899384533,""cross_hit"":0.6121808937650521,""own_unit_pnl_bps"":0.030795928001871115,""car_unit_pnl_bps"":0.023086878729793432,""cross_unit_pnl_bps"":0.030729767915082622,""n"":594541,""cross_minus_own_unit_pnl_bps"":-6.61600867884922e-05},{""asset"":""ETH"",""own_r2"":0.006578619327899382,""ar_r2"":0.0003274490065228175,""car_r2"":0.003307668849116152,""cross_r2"":0.006580324749506539,""cross_minus_own_r2"":1.7054216071565875e-06,""cross_minus_ar_r2"":0.006252875742983721,""cross_minus_car_r2"":0.0032726559003903866,""own_hit"":0.6000334081038515,""ar_hit"":0.5182551424617,""car_hit"":0.542515789306225,""cross_hit"":0.6001765856917863,""own_unit_pnl_bps"":0.04272468565443498,""car_unit_pnl_bps"":0.022042713348111337,""cross_unit_pnl_bps"":0.04303212021392029,""n"":594541,""cross_minus_own_unit_pnl_bps"":0.0003074345594853145},{""asset"":""SOL"",""own_r2"":0.0024737548879582016,""ar_r2"":0.0005261698672263115,""car_r2"":0.007002670103296249,""cross_r2"":0.0024719035090918773,""cross_minus_own_r2"":-1.8513788663243602e-06,""cross_minus_ar_r2"":0.0019457336418655657,""cross_minus_car_r2"":-0.004530766594204372,""own_hit"":0.606962151174352,""ar_hit"":0.520559446739875,""car_hit"":0.5705274089131444,""cross_hit"":0.6033275149693984,""own_unit_pnl_bps"":0.059585650481037984,""car_unit_pnl_bps"":0.043017336601575355,""cross_unit_pnl_bps"":0.05757754922636411,""n"":594541,""cross_minus_own_unit_pnl_bps"":-0.0020081012546738775},{""asset"":""XRP"",""own_r2"":0.005762345767413968,""ar_r2"":0.0012172227579111405,""car_r2"":0.00830331418087571,""cross_r2"":0.005745180212377243,""cross_minus_own_r2"":-1.7165555036724456e-05,""cross_minus_ar_r2"":0.004527957454466103,""cross_minus_car_r2"":-0.002558133968498466,""own_hit"":0.6090677028968283,""ar_hit"":0.5249945742602908,""car_hit"":0.5700023769907298,""cross_hit"":0.6052231787600376,""own_unit_pnl_bps"":0.05243608975392199,""car_unit_pnl_bps"":0.03596475179772578,""cross_unit_pnl_bps"":0.0501592874543391,""n"":594541,""cross_minus_own_unit_pnl_bps"":-0.0022768022995828946}]"
subminute,1,distance,single_bar,1,1,10,604800,86400,604800,real_minus_placebo,,,,,,,,,,,,,0.0035536424126096366,,0.0035536424126096366,,,,0.015306225719158184,,,0.007143020508306341,,,,
subminute,1,pca,single_bar,1,1,10,604800,86400,604800,real,zero,tuned_ridge_calendar_common_placebo_mask,604800.0,86400.0,604800.0,7.0,0.8,4803165.0,0.004338147773399664,0.0006329263849199074,0.0066116287491394254,0.009089595203985695,0.004751447430586031,0.008456668819065788,0.00247796645484627,0.590995323893366,0.5246772038973102,0.5640233686486581,0.6167531579496366,0.03788619804655857,0.031027920119301475,0.05108223903922821,0.013196040992669633,SOL,0.008917051869523185,"[{""asset"":""BTC"",""own_r2"":0.006926710298435057,""ar_r2"":0.00046086390801935995,""car_r2"":0.007832861863269591,""cross_r2"":0.008520804012314143,""cross_minus_own_r2"":0.0015940937138790856,""cross_minus_ar_r2"":0.008059940104294783,""cross_minus_car_r2"":0.0006879421490445514,""own_hit"":0.611966818303452,""ar_hit"":0.5348996521273749,""car_hit"":0.573047899384533,""cross_hit"":0.6274765854963875,""own_unit_pnl_bps"":0.030471941449744556,""car_unit_pnl_bps"":0.023086878729793432,""cross_unit_pnl_bps"":0.03518615625015397,""n"":594541,""cross_minus_own_unit_pnl_bps"":0.004714214800409414},{""asset"":""ETH"",""own_r2"":0.006465711670501917,""ar_r2"":0.0003274490065228175,""car_r2"":0.003307668849116152,""cross_r2"":0.006792829435298242,""cross_minus_own_r2"":0.00032711776479632526,""cross_minus_ar_r2"":0.006465380428775425,""cross_minus_car_r2"":0.00348516058618209,""own_hit"":0.598347094290396,""ar_hit"":0.5182551424617,""car_hit"":0.542515789306225,""cross_hit"":0.6038355684945672,""own_unit_pnl_bps"":0.04190501812649439,""car_unit_pnl_bps"":0.022042713348111337,""cross_unit_pnl_bps"":0.04444778103194866,""n"":594541,""cross_minus_own_unit_pnl_bps"":0.002542762905454271},{""asset"":""SOL"",""own_r2"":0.0010334097242683526,""ar_r2"":0.0005261698672263115,""car_r2"":0.007002670103296249,""cross_r2"":0.009950461593791537,""cross_minus_own_r2"":0.008917051869523185,""cross_minus_ar_r2"":0.009424291726565226,""cross_minus_car_r2"":0.0029477914904952884,""own_hit"":0.5708809297598267,""ar_hit"":0.520559446739875,""car_hit"":0.5705274089131444,""cross_hit"":0.6185510064296604,""own_unit_pnl_bps"":0.038429017978744595,""car_unit_pnl_bps"":0.043017336601575355,""cross_unit_pnl_bps"":0.06769196068535366,""n"":594541,""cross_minus_own_unit_pnl_bps"":0.029262942706609063},{""asset"":""XRP"",""own_r2"":0.0029267594003933306,""ar_r2"":0.0012172227579111405,""car_r2"":0.00830331418087571,""cross_r2"":0.011094285774538859,""cross_minus_own_r2"":0.008167526374145528,""cross_minus_ar_r2"":0.009877063016627718,""cross_minus_car_r2"":0.0027909715936631496,""own_hit"":0.582786453219789,""ar_hit"":0.5249945742602908,""car_hit"":0.5700023769907298,""cross_hit"":0.6171494713779312,""own_unit_pnl_bps"":0.040738814631250765,""car_unit_pnl_bps"":0.03596475179772578,""cross_unit_pnl_bps"":0.05700305818945655,""n"":594541,""cross_minus_own_unit_pnl_bps"":0.016264243558205785}]"
